,dBA
532,45.3
533,53.0
534,58.5
535,70.0
536,46.0
537,50.0
538,58.2
539,67.1
540,53.1
541,51.5
542,59.1
543,60.4
544,53.2
545,50.1
546,59.7
547,62.1
548,45.0
549,52.8
550,59.5
551,69.0
552,45.7
553,51.0
554,59.4
555,53.6
556,58.0
557,49.8
558,58.7
559,65.5
560,44.4
561,50.5
562,58.7
563,67.4
564,44.9
565,49.2
566,58.7
567,66.2
568,53.3
569,50.5
570,59.1
571,61.9
572,44.7
573,52.4
574,58.5
575,70.0
576,51.2
577,46.5
578,59.5
579,59.6
580,48.6
581,47.0
582,59.5
583,52.9
584,52.0
585,51.8
586,61.0
587,65.8
588,45.2
589,47.9
590,60.8
591,63.9
592,51.6
593,48.8
594,60.4
595,65.8
596,52.7
597,52.5
598,60.6
599,52.9
600,52.4
601,52.0
602,60.1
603,72.0
604,55.1
605,48.4
606,59.9
607,69.5
608,45.9
609,50.6
610,61.0
611,65.0
612,45.8
613,51.6
614,64.1
615,64.9
616,49.0
617,51.4
618,67.1
619,59.9
620,46.8
621,49.7
622,62.8
623,67.0
624,54.4
625,51.8
626,66.8
627,54.2
628,44.5
629,50.0
630,68.9
631,70.3
632,45.0
633,48.9
634,70.1
635,69.9
636,45.2
637,49.8
638,67.3
639,60.9
640,44.4
641,46.8
642,61.7
643,70.6
644,44.8
645,51.2
646,62.9
647,53.6
648,49.2
649,51.2
650,61.0
651,64.7
652,47.6
653,50.4
654,61.0
655,52.7
656,50.9
657,48.4
658,60.9
659,57.2
660,46.1
661,52.8
662,60.2
663,68.0
664,51.7
665,48.5
666,60.1
667,66.0
668,47.4
669,46.6
670,62.2
671,56.0
672,44.9
673,45.6
674,59.7
675,63.3
676,45.1
677,48.5
678,59.5
679,70.2
680,51.4
681,55.1
682,59.7
683,69.5
684,45.5
685,50.8
686,61.7
687,69.2
688,45.3
689,52.6
690,61.1
691,69.1
692,44.5
693,52.2
694,61.7
695,55.0
696,44.6
697,49.3
698,61.7
699,70.7
700,50.0
701,46.7
702,61.4
703,71.6
704,47.2
705,52.2
706,60.9
707,69.6
708,45.8
709,51.2
710,61.7
711,65.0
712,45.4
713,51.2
714,63.4
715,63.6
716,45.1
717,51.3
718,63.8
719,63.6
720,45.1
721,49.1
722,61.9
723,61.9
724,45.9
725,48.5
726,62.5
727,69.1
728,54.8
729,51.1
730,62.1
731,57.6
732,56.2
733,48.3
734,62.1
735,67.0
736,48.3
737,52.5
738,62.4
739,69.5
740,48.0
741,53.8
742,61.2
743,65.5
744,45.5
745,52.2
746,61.8
747,64.0
748,45.7
749,49.7
750,64.1
751,61.1
752,55.4
753,50.2
754,63.0
