,dBA
67026,60.0
67027,71.8
67028,50.3
67029,58.9
67030,32.3
67031,60.6
67032,68.2
67033,54.2
67034,60.0
67035,32.3
67036,59.5
67037,67.9
67038,51.3
67039,59.6
67040,32.3
67041,60.6
67042,74.3
67043,57.4
67044,58.5
67045,32.3
67046,62.1
67047,73.1
67048,58.0
67049,59.3
67050,32.5
67051,59.7
67052,71.8
67053,55.2
67054,59.8
67055,32.8
67056,60.5
67057,71.5
67058,58.3
67059,60.1
67060,32.9
67061,61.4
67062,70.6
67063,56.6
67064,59.7
67065,32.5
67066,60.7
67067,67.2
67068,52.8
67069,59.4
67070,32.5
67071,62.1
67072,71.9
67073,55.2
67074,58.9
67075,32.4
67076,67.8
67077,69.3
67078,52.9
67079,59.9
67080,32.7
67081,65.3
67082,73.1
67083,56.8
67084,58.2
67085,32.8
67086,68.0
67087,66.4
67088,50.3
67089,57.3
67090,33.2
67091,71.6
67092,67.0
67093,56.3
67094,55.9
67095,32.8
67096,69.8
67097,67.5
67098,53.6
67099,58.4
67100,32.8
67101,68.0
67102,69.7
67103,53.7
67104,59.5
67105,32.8
67106,66.1
67107,69.1
67108,56.0
67109,59.1
67110,33.7
67111,65.6
67112,72.0
67113,55.8
67114,58.4
67115,32.8
67116,65.6
67117,70.7
67118,53.2
67119,59.9
67120,33.0
67121,63.8
67122,70.1
67123,56.3
67124,58.6
67125,32.8
67126,64.9
67127,70.9
67128,56.9
67129,60.1
67130,34.5
67131,63.9
67132,69.9
67133,50.5
67134,58.7
67135,32.9
67136,62.6
67137,67.9
67138,51.9
67139,57.7
67140,33.1
67141,62.6
67142,74.3
67143,52.7
67144,57.4
67145,33.3
67146,65.6
67147,72.0
67148,54.2
67149,58.7
67150,32.9
67151,67.2
67152,70.7
67153,58.0
67154,57.1
67155,33.2
67156,67.5
67157,72.7
67158,56.9
67159,57.1
67160,33.2
67161,67.9
67162,67.8
67163,54.5
67164,55.6
67165,32.9
67166,65.5
67167,72.5
67168,58.3
67169,59.4
67170,33.0
67171,62.7
67172,68.9
67173,52.2
67174,58.4
67175,33.2
67176,65.1
67177,73.2
67178,55.7
67179,58.9
67180,33.2
67181,68.0
67182,72.0
67183,55.7
67184,57.6
67185,32.4
67186,66.7
67187,70.4
67188,55.2
67189,56.6
67190,32.6
67191,68.0
67192,70.1
67193,52.7
67194,57.5
67195,32.4
67196,64.3
67197,71.1
67198,57.7
67199,57.2
67200,32.5
67201,62.6
67202,67.7
67203,57.6
67204,58.8
67205,32.5
67206,69.9
67207,70.7
67208,55.9
67209,58.1
67210,32.5
67211,68.0
67212,71.8
67213,49.2
67214,58.5
67215,32.7
67216,65.5
67217,68.2
67218,53.0
67219,59.9
67220,32.6
67221,61.5
67222,65.4
67223,53.0
67224,59.1
67225,32.4
67226,63.9
67227,67.5
67228,54.5
67229,60.9
67230,32.6
67231,63.3
67232,68.8
67233,52.6
67234,61.4
67235,32.4
67236,61.9
67237,69.5
67238,55.0
67239,59.4
67240,32.8
67241,60.6
67242,71.2
67243,52.4
67244,60.3
67245,32.3
67246,61.3
67247,65.3
67248,55.6
67249,60.2
67250,32.7
67251,61.2
67252,70.3
67253,54.4
67254,58.4
67255,32.5
67256,61.4
67257,73.2
67258,58.4
67259,60.4
67260,32.6
67261,61.4
67262,63.9
67263,54.9
67264,59.2
67265,32.6
67266,60.2
67267,67.3
67268,52.5
67269,59.5
67270,32.6
67271,60.0
67272,67.9
67273,52.5
67274,59.6
67275,32.4
67276,59.9
67277,69.2
67278,57.3
67279,59.3
67280,32.6
67281,63.2
67282,61.5
67283,58.0
67284,59.6
67285,32.4
67286,60.9
67287,70.8
67288,54.9
67289,58.8
67290,32.5
67291,60.3
67292,65.4
67293,54.7
67294,56.9
67295,32.4
67296,60.3
67297,68.9
67298,53.3
67299,58.5
67300,32.5
67301,60.1
67302,70.0
67303,56.0
67304,57.0
67305,32.4
67306,60.1
67307,68.5
67308,53.5
67309,57.1
67310,32.6
67311,60.0
67312,63.3
67313,57.3
67314,56.7
67315,32.4
67316,61.9
67317,72.4
67318,55.7
67319,55.0
67320,32.4
67321,63.6
67322,73.4
67323,51.6
67324,54.3
67325,32.5
67326,64.1
67327,61.5
67328,56.7
67329,55.1
67330,32.8
67331,63.3
67332,66.9
67333,53.8
67334,56.2
67335,32.4
67336,62.6
67337,67.7
67338,63.3
67339,55.5
67340,32.4
67341,62.2
67342,71.0
67343,57.2
67344,56.4
67345,32.4
67346,63.1
67347,66.6
67348,57.5
67349,56.8
67350,32.5
67351,62.2
67352,64.3
67353,57.4
67354,53.8
67355,32.6
67356,61.6
67357,71.3
67358,49.9
67359,54.8
67360,32.6
67361,61.1
67362,64.8
67363,55.2
67364,54.4
67365,32.6
67366,60.4
67367,69.5
67368,57.1
67369,55.7
67370,32.5
67371,60.5
67372,68.3
67373,52.7
67374,56.4
67375,32.4
67376,60.3
67377,68.9
67378,55.1
67379,55.8
67380,32.5
67381,59.8
67382,72.1
67383,55.3
67384,54.9
67385,32.4
67386,59.9
67387,69.9
67388,58.1
67389,55.0
67390,32.5
67391,59.7
67392,67.2
67393,53.4
67394,54.5
67395,32.5
67396,60.0
67397,70.1
67398,52.4
67399,55.4
67400,32.8
67401,59.5
67402,70.2
67403,53.5
67404,56.6
67405,32.5
67406,59.4
67407,65.4
67408,54.5
67409,56.4
67410,32.4
67411,59.1
67412,69.9
67413,49.2
67414,54.0
67415,33.0
67416,59.1
67417,67.9
67418,55.0
67419,56.0
67420,32.3
67421,59.2
67422,66.4
67423,55.9
67424,53.2
67425,32.4
67426,59.9
67427,67.9
67428,52.2
67429,55.5
67430,32.4
67431,59.4
67432,70.8
67433,48.5
67434,54.6
67435,32.4
67436,59.6
67437,65.9
67438,49.0
67439,54.8
67440,33.4
67441,59.1
67442,62.8
67443,49.4
67444,53.8
67445,32.3
67446,59.6
67447,68.0
67448,54.0
67449,55.5
67450,32.5
67451,61.0
67452,69.0
67453,49.2
67454,53.1
67455,32.5
67456,61.5
67457,72.8
67458,56.2
67459,55.7
67460,32.3
67461,62.2
67462,69.3
67463,50.6
67464,57.3
67465,32.3
67466,61.8
67467,71.1
67468,50.6
67469,56.5
67470,32.4
67471,62.6
67472,63.7
67473,52.1
67474,55.9
67475,32.5
67476,64.5
67477,69.1
67478,53.5
67479,56.6
67480,32.3
67481,64.8
67482,68.6
67483,48.2
67484,56.3
67485,32.4
67486,62.5
67487,56.2
67488,53.0
67489,57.2
67490,32.3
67491,63.7
67492,59.8
67493,54.4
67494,56.7
67495,32.6
67496,61.4
67497,71.2
67498,55.9
67499,57.8
67500,32.3
67501,61.2
67502,68.3
67503,58.8
67504,56.9
67505,32.4
67506,61.5
67507,67.4
67508,56.6
67509,56.4
67510,32.5
67511,60.8
67512,71.2
67513,55.9
67514,54.3
67515,32.0
67516,60.6
67517,67.5
67518,51.2
67519,53.6
67520,32.0
67521,60.0
67522,67.7
67523,58.6
67524,53.4
67525,32.1
67526,60.4
67527,68.9
67528,54.9
67529,54.3
67530,32.1
67531,60.9
67532,79.5
67533,49.7
67534,51.3
67535,32.2
67536,60.8
67537,69.5
67538,53.9
67539,53.7
67540,32.0
67541,60.2
67542,67.7
67543,57.0
67544,54.8
67545,32.3
67546,59.8
67547,64.3
67548,55.7
67549,53.8
67550,32.0
67551,59.7
67552,64.9
67553,52.2
67554,54.6
67555,32.0
67556,59.7
67557,66.3
67558,57.2
67559,54.2
67560,32.1
67561,59.7
67562,74.6
67563,50.2
67564,54.4
67565,32.2
67566,59.8
67567,66.2
67568,52.7
67569,53.2
67570,32.3
67571,60.1
67572,68.5
67573,53.8
67574,56.1
67575,32.0
67576,59.3
67577,70.9
67578,52.7
67579,56.3
67580,32.1
67581,59.2
67582,68.5
67583,50.3
67584,53.5
67585,32.4
67586,59.3
67587,69.3
67588,54.3
67589,54.6
67590,32.0
67591,59.4
67592,68.9
67593,50.5
67594,53.4
67595,32.4
67596,59.2
67597,66.1
67598,56.9
67599,50.1
67600,32.6
67601,58.9
67602,68.6
67603,57.2
67604,53.9
67605,32.6
67606,59.5
67607,75.8
67608,54.9
67609,54.5
67610,32.7
67611,59.3
67612,69.8
67613,56.6
67614,55.1
67615,33.7
67616,58.9
67617,69.8
67618,52.3
67619,56.1
67620,32.7
67621,59.3
67622,68.4
67623,47.7
67624,55.5
67625,33.3
67626,59.0
67627,75.5
67628,47.4
67629,54.9
67630,32.7
67631,59.7
67632,73.1
67633,47.0
67634,55.3
67635,34.0
67636,60.3
67637,72.1
67638,47.5
67639,56.1
67640,32.6
67641,58.9
67642,69.0
67643,52.9
67644,54.8
67645,32.8
67646,58.4
67647,71.5
67648,58.6
67649,56.5
67650,33.2
67651,58.5
67652,70.0
67653,52.9
67654,55.4
67655,32.7
67656,58.4
67657,69.9
67658,53.1
67659,55.6
67660,32.9
67661,58.4
67662,70.8
67663,49.5
67664,56.3
67665,33.0
67666,58.3
67667,71.6
67668,53.1
67669,57.9
67670,32.8
67671,58.4
67672,68.2
67673,59.7
67674,54.3
67675,33.3
67676,60.4
67677,71.6
67678,57.9
67679,54.2
67680,33.0
67681,58.8
67682,70.4
67683,53.8
67684,53.3
67685,33.0
67686,58.0
67687,70.7
67688,54.1
67689,54.2
67690,33.1
67691,58.0
67692,66.0
67693,54.7
67694,55.2
67695,32.8
67696,58.2
67697,68.8
67698,55.4
67699,54.7
67700,32.8
67701,58.3
67702,65.0
67703,47.6
67704,51.7
67705,32.2
67706,58.1
67707,69.9
67708,47.3
67709,50.8
67710,32.4
67711,57.8
67712,68.2
67713,56.0
67714,49.1
67715,32.2
67716,58.1
67717,65.7
67718,53.4
67719,50.1
67720,32.3
67721,58.3
67722,69.1
67723,52.3
67724,49.2
67725,32.2
67726,58.1
67727,53.0
67728,49.0
67729,53.2
67730,32.4
67731,58.0
67732,69.1
67733,47.1
67734,49.8
67735,32.2
67736,58.0
67737,71.4
67738,47.5
67739,51.1
67740,32.2
67741,57.7
67742,71.7
67743,54.3
67744,49.7
67745,32.3
67746,57.8
67747,65.5
67748,54.0
67749,51.5
67750,32.2
67751,57.7
67752,68.2
67753,48.0
67754,52.5
67755,32.1
67756,58.6
67757,63.8
67758,52.2
67759,52.3
67760,32.2
67761,57.8
67762,65.3
67763,51.8
67764,53.3
67765,32.4
67766,57.8
67767,72.3
67768,54.7
67769,52.4
67770,32.3
67771,58.1
67772,60.4
67773,50.0
67774,53.1
67775,32.2
67776,58.1
67777,61.8
67778,57.3
67779,55.1
67780,32.2
67781,58.0
67782,66.4
67783,53.7
67784,56.1
67785,32.3
67786,62.7
67787,72.3
67788,50.5
67789,54.7
67790,32.3
67791,58.1
67792,65.6
67793,51.1
67794,54.4
67795,32.4
67796,58.0
67797,59.7
67798,50.4
67799,52.3
67800,32.2
67801,61.9
67802,65.6
67803,55.3
67804,53.8
67805,32.2
67806,58.4
67807,66.7
67808,50.9
67809,54.2
67810,32.1
67811,58.6
67812,66.9
67813,47.9
67814,54.9
67815,32.3
67816,57.8
67817,65.3
67818,49.0
67819,50.0
67820,32.2
67821,58.0
67822,67.2
67823,55.1
67824,51.6
67825,32.2
67826,61.8
67827,66.0
67828,50.6
67829,53.5
67830,32.2
67831,58.0
67832,64.2
67833,49.7
67834,51.7
67835,32.2
67836,58.0
67837,73.3
67838,50.2
67839,51.8
67840,50.1
67841,57.9
67842,66.6
67843,51.5
67844,52.9
67845,33.6
67846,57.8
67847,71.0
67848,55.3
67849,54.6
67850,32.0
67851,57.9
67852,63.3
67853,50.9
67854,54.0
67855,32.0
67856,57.8
67857,69.4
67858,53.5
67859,53.7
67860,32.0
67861,57.8
67862,63.8
67863,53.7
67864,50.9
67865,32.1
67866,57.8
67867,69.8
67868,53.3
67869,51.2
67870,32.2
67871,58.0
67872,71.1
67873,56.0
67874,52.8
67875,32.1
67876,57.8
67877,67.0
67878,47.5
67879,48.1
67880,32.0
67881,57.6
67882,67.4
67883,47.6
67884,51.1
67885,32.1
67886,57.7
67887,70.4
67888,52.8
67889,54.5
67890,32.1
67891,57.7
67892,67.4
67893,57.6
67894,53.5
67895,32.1
67896,57.7
67897,65.6
67898,49.6
67899,51.8
67900,32.0
67901,58.0
67902,68.4
67903,51.6
67904,52.1
67905,32.1
67906,58.0
67907,68.6
67908,52.9
67909,53.5
67910,32.4
67911,57.8
67912,68.8
67913,52.3
67914,51.4
67915,32.2
67916,58.2
67917,67.4
67918,62.0
67919,52.5
67920,32.2
67921,58.0
67922,63.5
67923,48.6
67924,52.3
67925,32.0
67926,58.2
67927,66.0
67928,50.3
67929,49.8
67930,32.1
67931,57.7
67932,66.2
67933,50.2
67934,51.7
67935,32.0
67936,57.6
67937,63.8
67938,55.8
67939,53.0
67940,32.0
67941,57.5
67942,65.8
67943,60.4
67944,49.3
67945,32.1
67946,57.6
67947,69.6
67948,54.2
67949,49.9
67950,32.1
67951,58.0
67952,69.1
67953,51.4
67954,52.6
67955,32.0
67956,58.0
67957,66.3
67958,54.9
67959,52.6
67960,32.0
67961,58.0
67962,63.1
67963,53.3
67964,52.5
67965,32.0
67966,57.9
67967,67.2
67968,49.6
67969,50.0
67970,32.0
67971,58.2
67972,67.3
67973,62.4
67974,50.3
67975,32.1
67976,57.9
67977,68.6
67978,55.1
67979,50.5
67980,32.2
67981,58.0
67982,64.5
67983,48.0
67984,50.6
67985,32.0
67986,58.1
67987,68.9
67988,51.4
67989,53.9
67990,32.0
67991,58.3
67992,65.5
67993,54.8
67994,49.2
67995,32.4
67996,58.2
67997,65.0
67998,48.2
67999,49.8
68000,32.1
68001,58.2
68002,64.4
68003,46.6
68004,48.2
68005,32.1
68006,58.3
68007,68.9
68008,51.6
68009,51.5
68010,32.2
68011,58.5
68012,69.0
68013,47.4
68014,50.9
68015,32.3
68016,58.4
68017,54.2
68018,47.3
68019,50.9
68020,32.0
68021,58.4
68022,65.5
68023,51.0
68024,52.1
68025,31.9
68026,58.2
68027,60.3
68028,46.9
68029,49.3
68030,32.0
68031,58.0
68032,78.3
68033,46.9
68034,50.4
68035,31.8
68036,57.9
68037,54.1
68038,47.7
68039,48.8
68040,31.8
68041,58.1
68042,71.6
68043,52.5
68044,51.4
68045,32.1
68046,58.1
68047,60.5
68048,55.8
68049,49.1
68050,31.9
68051,57.9
68052,61.8
68053,49.7
68054,52.3
68055,31.8
68056,57.8
68057,60.0
68058,47.8
68059,50.3
68060,31.8
68061,57.5
68062,67.2
68063,49.2
68064,49.3
68065,31.7
68066,57.5
68067,68.4
68068,49.4
68069,53.0
68070,32.0
68071,57.5
68072,71.9
68073,53.9
68074,53.0
68075,31.8
68076,57.1
68077,69.2
68078,58.5
68079,52.2
68080,32.0
68081,58.0
68082,52.4
68083,50.4
68084,49.8
68085,31.8
68086,60.7
68087,57.9
68088,48.1
68089,52.9
68090,32.1
68091,57.7
68092,57.3
68093,48.0
68094,50.5
68095,32.0
68096,57.9
68097,61.8
68098,50.8
68099,47.4
68100,31.9
68101,57.9
68102,67.9
68103,50.0
68104,49.8
68105,31.8
68106,57.6
68107,62.4
68108,50.4
68109,50.4
68110,31.8
68111,57.6
68112,67.9
68113,57.9
68114,50.6
68115,32.1
68116,57.8
68117,68.0
68118,46.7
68119,49.8
68120,31.8
68121,57.7
68122,58.8
68123,47.0
68124,52.0
68125,31.8
68126,57.6
68127,64.3
68128,52.4
68129,47.2
68130,31.8
68131,57.6
68132,66.6
68133,47.8
68134,48.6
68135,31.9
68136,57.8
68137,65.0
68138,54.4
68139,49.5
68140,32.2
68141,57.6
68142,64.2
68143,51.5
68144,49.8
68145,32.4
68146,57.6
68147,53.6
68148,55.2
68149,51.1
68150,32.2
68151,57.6
68152,66.1
68153,50.4
68154,50.3
68155,32.3
68156,57.8
68157,64.1
68158,47.7
68159,49.9
68160,32.5
68161,58.0
68162,58.6
68163,52.8
68164,49.2
68165,32.4
68166,58.4
68167,68.9
68168,46.7
68169,50.2
68170,32.5
68171,57.7
68172,69.3
68173,46.7
68174,48.1
68175,32.3
68176,58.0
68177,65.7
68178,53.6
68179,49.6
68180,32.5
68181,58.4
68182,66.2
68183,49.1
68184,48.6
68185,32.5
68186,58.0
68187,70.3
68188,50.6
68189,47.0
68190,32.5
68191,57.6
68192,58.1
68193,46.6
68194,51.7
68195,32.4
68196,57.4
68197,67.5
68198,46.7
68199,49.3
68200,32.4
68201,57.9
68202,64.8
68203,47.5
68204,52.6
68205,32.7
68206,58.2
68207,68.6
68208,53.1
68209,50.5
68210,32.6
68211,57.6
68212,59.9
68213,46.5
68214,48.6
68215,32.5
68216,58.1
68217,64.5
68218,50.3
68219,51.6
68220,32.7
68221,57.1
68222,64.2
68223,47.2
68224,50.5
68225,32.7
68226,57.2
68227,64.8
68228,48.8
68229,50.7
68230,32.7
68231,57.5
68232,67.1
68233,54.8
68234,49.1
68235,32.9
68236,57.4
68237,61.5
68238,55.8
68239,49.9
68240,32.7
68241,57.5
68242,66.2
68243,46.7
68244,53.8
68245,32.1
68246,57.3
68247,66.1
68248,49.8
68249,53.6
68250,32.0
68251,57.5
68252,59.2
68253,47.6
68254,50.5
68255,31.9
68256,57.5
68257,58.4
68258,50.4
68259,50.2
68260,32.0
68261,57.6
68262,63.1
68263,53.6
68264,48.5
68265,32.0
68266,57.3
68267,70.8
68268,53.1
68269,50.4
68270,31.9
68271,57.3
68272,69.3
68273,46.8
68274,53.2
68275,31.9
68276,57.5
68277,61.3
68278,46.5
68279,49.3
68280,32.0
68281,57.5
68282,68.6
68283,46.8
68284,49.7
68285,32.0
68286,58.0
68287,67.9
68288,52.7
68289,49.7
68290,32.2
68291,57.6
68292,65.6
68293,50.7
68294,50.8
68295,31.9
68296,57.8
68297,72.0
68298,47.4
68299,50.8
68300,32.0
68301,57.7
68302,60.4
68303,52.2
68304,49.9
68305,31.9
68306,57.7
68307,64.2
68308,49.1
68309,47.2
68310,32.0
68311,57.6
68312,63.8
68313,52.7
68314,49.1
68315,32.1
68316,57.7
68317,52.7
68318,53.1
68319,48.1
68320,31.9
68321,57.9
68322,61.6
68323,46.9
68324,46.2
68325,32.0
68326,58.5
68327,65.4
68328,46.5
68329,47.3
68330,32.0
68331,57.7
68332,64.0
68333,46.6
68334,49.2
68335,32.2
68336,57.9
68337,63.8
68338,46.7
68339,50.8
68340,32.1
68341,57.9
68342,69.2
68343,47.9
68344,48.5
68345,32.0
68346,57.6
68347,63.9
68348,47.9
68349,50.6
68350,31.9
68351,57.7
68352,69.1
68353,51.3
68354,50.0
68355,32.1
68356,57.9
68357,68.4
68358,50.5
68359,51.1
68360,32.0
68361,58.1
68362,67.8
68363,53.5
68364,46.5
68365,32.0
68366,57.8
68367,60.9
68368,49.0
68369,50.6
68370,32.1
68371,57.6
68372,69.6
68373,47.6
68374,50.4
68375,32.0
68376,57.8
68377,63.6
68378,47.9
68379,48.9
68380,32.0
68381,57.9
68382,68.2
68383,53.4
68384,48.8
68385,31.9
68386,57.7
68387,69.5
68388,55.6
68389,49.0
68390,32.1
68391,57.8
68392,60.2
68393,50.9
68394,50.6
68395,32.0
68396,57.8
68397,66.8
68398,49.9
68399,47.5
68400,32.1
68401,58.3
68402,64.6
68403,47.6
68404,48.6
68405,32.0
68406,57.7
68407,66.7
68408,47.4
68409,47.3
68410,32.1
68411,58.0
68412,63.2
68413,49.3
68414,52.4
68415,32.3
68416,57.9
68417,52.8
68418,47.8
68419,49.2
68420,32.1
68421,57.8
68422,67.6
68423,54.4
68424,46.4
68425,32.0
68426,57.5
68427,62.0
68428,47.3
68429,51.6
68430,32.1
68431,57.2
68432,61.8
68433,47.9
68434,50.5
68435,32.3
68436,57.8
68437,55.7
68438,49.5
68439,51.1
68440,32.1
68441,57.6
68442,57.4
68443,53.6
68444,49.7
68445,32.0
68446,57.4
68447,69.0
68448,52.2
68449,47.9
68450,32.1
68451,57.6
68452,58.7
68453,50.7
68454,47.1
68455,32.1
68456,57.5
68457,52.3
68458,55.0
68459,48.4
68460,32.2
68461,57.8
68462,65.7
68463,54.3
68464,51.1
68465,32.1
68466,58.3
68467,58.3
68468,47.7
68469,47.4
68470,32.1
68471,58.3
68472,60.4
68473,48.0
68474,50.5
68475,32.2
68476,58.4
68477,56.9
68478,50.5
68479,46.3
68480,32.1
68481,58.7
68482,64.4
68483,46.8
68484,46.7
68485,32.0
68486,58.3
68487,67.6
68488,47.1
68489,48.7
68490,32.0
68491,62.6
68492,69.8
68493,47.2
68494,46.2
68495,32.0
68496,63.0
68497,65.8
68498,47.2
68499,49.3
68500,32.0
68501,61.8
68502,65.9
68503,47.1
68504,48.8
68505,32.1
68506,61.2
68507,67.8
68508,46.8
68509,47.6
68510,32.4
68511,61.0
68512,62.9
68513,46.1
68514,46.0
68515,32.2
68516,60.8
68517,58.2
68518,46.0
68519,49.8
68520,32.0
68521,60.1
68522,61.7
68523,54.3
68524,48.6
68525,32.3
68526,60.9
68527,52.2
68528,48.6
68529,48.9
68530,32.1
68531,61.0
68532,51.6
68533,48.5
68534,51.4
68535,32.2
68536,60.4
68537,62.9
68538,53.6
68539,48.8
68540,32.1
68541,59.9
68542,52.0
68543,46.0
68544,48.1
68545,32.1
68546,60.1
68547,51.4
68548,49.3
68549,48.9
68550,32.2
68551,62.4
68552,55.0
68553,46.0
68554,46.3
68555,32.2
68556,61.6
68557,52.2
68558,45.9
68559,47.3
68560,32.1
68561,60.6
68562,63.3
68563,50.5
68564,47.8
68565,32.1
68566,60.5
68567,57.1
68568,54.7
68569,48.9
68570,31.8
68571,62.9
68572,54.9
68573,46.4
68574,49.2
68575,32.0
68576,62.6
68577,60.1
68578,49.4
68579,47.2
68580,31.7
68581,61.6
68582,64.6
68583,53.5
68584,46.9
68585,31.8
68586,63.3
68587,61.2
68588,46.4
68589,46.6
68590,31.8
68591,61.8
68592,60.5
68593,46.4
68594,50.4
68595,31.8
68596,63.3
68597,51.6
68598,46.6
68599,50.4
68600,31.8
68601,61.8
68602,53.0
68603,47.2
68604,46.0
68605,31.8
68606,60.6
68607,52.4
68608,46.6
68609,47.3
68610,31.8
68611,60.1
68612,66.6
68613,46.9
68614,49.5
68615,31.7
68616,60.4
68617,54.6
68618,52.3
68619,49.3
68620,31.9
68621,60.4
68622,59.4
68623,48.3
68624,46.4
68625,31.7
68626,60.8
68627,69.1
68628,46.0
68629,46.1
68630,31.8
68631,60.4
68632,64.6
68633,52.7
68634,44.9
68635,31.9
68636,60.8
68637,63.1
68638,46.8
68639,46.0
68640,31.8
68641,62.1
68642,69.3
68643,46.2
68644,48.6
68645,32.0
68646,62.9
68647,60.1
68648,47.2
68649,50.1
68650,32.0
68651,60.9
68652,66.7
68653,49.5
68654,45.7
68655,31.8
68656,60.7
68657,68.8
68658,45.9
68659,47.8
68660,31.8
68661,60.4
68662,57.3
68663,46.1
68664,44.7
68665,32.0
68666,60.8
68667,67.2
68668,45.9
68669,45.7
68670,31.9
68671,61.6
68672,68.2
68673,50.4
68674,47.6
68675,31.8
68676,61.5
68677,53.1
68678,48.2
68679,51.6
68680,31.8
68681,61.1
68682,65.9
68683,47.6
68684,50.2
68685,31.7
68686,60.3
68687,66.5
68688,52.0
68689,50.1
68690,31.8
68691,60.5
68692,60.4
68693,48.6
68694,51.4
68695,32.3
68696,59.8
68697,66.1
68698,46.5
68699,45.7
68700,32.3
68701,60.0
68702,57.5
68703,47.0
68704,45.9
68705,32.2
68706,59.2
68707,51.8
68708,46.7
68709,48.4
68710,32.3
68711,60.2
68712,56.1
68713,47.4
68714,49.7
68715,32.4
68716,59.2
68717,65.6
68718,51.7
68719,51.0
68720,32.4
68721,58.6
68722,59.0
68723,53.5
68724,49.2
68725,32.4
68726,58.8
68727,52.0
68728,46.8
68729,45.9
68730,32.3
68731,59.0
68732,66.4
68733,46.4
68734,48.5
68735,32.3
68736,59.3
68737,63.9
68738,47.0
68739,45.0
68740,32.5
68741,59.5
68742,69.4
68743,52.2
68744,46.5
68745,32.4
68746,59.7
68747,60.3
68748,46.1
68749,47.5
68750,32.4
68751,59.2
68752,51.9
68753,45.7
68754,49.1
68755,32.4
68756,60.3
68757,57.2
68758,45.9
68759,49.2
68760,32.7
68761,57.9
68762,51.6
68763,46.0
68764,43.9
68765,32.7
68766,58.3
68767,58.9
68768,45.8
68769,43.5
68770,32.6
68771,59.9
68772,62.0
68773,45.9
68774,49.1
68775,32.5
68776,57.0
68777,54.2
68778,46.1
68779,50.3
68780,32.5
68781,57.3
68782,51.5
68783,54.8
68784,46.6
68785,32.4
68786,57.9
68787,58.3
68788,46.1
68789,46.8
68790,32.4
68791,58.0
68792,51.7
68793,46.2
68794,47.3
68795,32.4
68796,58.4
68797,63.8
68798,48.6
68799,47.3
68800,31.9
68801,57.6
68802,52.0
68803,47.1
68804,46.9
68805,31.9
68806,57.4
68807,64.0
68808,46.6
68809,48.2
68810,31.9
68811,57.7
68812,64.7
68813,45.6
68814,47.7
68815,31.9
68816,57.8
68817,51.9
68818,46.1
68819,47.2
68820,31.9
68821,57.9
68822,52.0
68823,48.8
68824,44.0
68825,32.1
68826,57.5
68827,64.9
68828,53.4
68829,46.1
68830,31.8
68831,57.5
68832,52.5
68833,51.5
68834,48.6
68835,31.8
68836,57.4
68837,69.7
68838,55.6
68839,45.1
68840,31.8
68841,57.6
68842,52.4
68843,51.9
68844,49.6
68845,32.0
68846,57.7
68847,62.5
68848,44.4
68849,46.3
68850,31.9
68851,57.3
68852,74.5
68853,44.4
68854,45.8
68855,31.9
68856,57.6
68857,52.6
68858,45.1
68859,47.9
68860,31.9
68861,57.4
68862,61.8
68863,45.1
68864,45.1
68865,31.8
68866,57.5
68867,51.5
68868,44.9
68869,44.4
68870,31.9
68871,57.4
68872,62.4
68873,45.2
68874,48.5
68875,31.9
68876,57.4
68877,58.2
68878,50.7
68879,47.9
68880,32.0
68881,57.7
68882,70.4
68883,45.0
68884,47.6
68885,31.8
68886,58.4
68887,58.3
68888,47.0
68889,44.7
68890,31.9
68891,58.0
68892,68.2
68893,50.5
68894,49.9
68895,31.9
68896,57.4
68897,68.9
68898,45.3
68899,47.7
68900,31.9
68901,58.0
68902,57.3
68903,45.3
68904,43.5
68905,31.9
68906,58.4
68907,55.5
68908,45.7
68909,46.8
68910,31.9
68911,58.7
68912,57.6
68913,44.9
68914,45.6
68915,32.1
68916,59.1
68917,67.0
68918,44.7
68919,49.3
68920,32.8
68921,58.3
68922,72.3
68923,45.1
68924,47.6
68925,32.4
68926,58.2
68927,64.5
68928,44.3
68929,47.9
68930,32.3
68931,58.1
68932,59.7
68933,44.2
68934,47.8
68935,32.4
68936,58.5
68937,64.5
68938,48.3
68939,45.9
68940,31.9
68941,59.0
68942,65.4
68943,44.1
68944,44.4
68945,31.9
68946,57.9
68947,61.8
68948,49.2
68949,44.3
68950,31.8
68951,59.6
68952,52.9
68953,53.8
68954,44.9
68955,31.8
68956,60.5
68957,68.2
68958,49.6
68959,47.8
68960,31.9
68961,58.3
68962,66.2
68963,44.4
68964,43.2
68965,32.0
68966,57.9
68967,67.8
68968,44.7
68969,44.7
68970,31.9
68971,61.1
68972,66.0
68973,48.8
68974,46.7
68975,31.9
68976,69.0
68977,52.0
68978,44.2
68979,45.7
68980,32.0
68981,65.0
68982,63.7
68983,46.5
68984,45.6
68985,31.8
68986,64.0
68987,57.2
68988,44.6
68989,47.8
68990,32.0
68991,60.8
68992,51.8
68993,45.0
68994,47.1
68995,32.0
68996,61.0
68997,59.2
68998,52.1
68999,48.3
69000,32.0
69001,61.3
69002,65.8
69003,52.8
69004,46.9
69005,31.9
69006,62.5
69007,65.8
69008,45.1
69009,43.9
69010,31.9
69011,58.4
69012,57.7
69013,53.4
69014,48.4
69015,32.0
69016,58.3
69017,69.0
69018,51.3
69019,49.2
69020,32.4
69021,58.1
69022,64.4
69023,44.6
69024,47.2
